Samples	S1 (SBS1 - 0.99)	S2 (SBS2 - 0.99)	S3 (SBS3 - 0.97)	S4 (SBS4 - 0.98)	S5 (SBS5 - 0.98)	S6 (SBS7a - 1.00)	S7 (SBS7b - 0.96)	S8 (SBS8 - 0.92)	S9 (SBS9 - 0.94)	S10 (SBS10a - 1.00)	S11 (SBS10d - 0.98)	S12 (SBS11 - 0.99)	S13 (SBS13 - 0.99)	S14 (SBS14 - 0.98)	S15 (SBS15 - 0.97)	S16 (SBS17 - 0.99)	S17 (SBS18 - 0.97)	S18 (SBS19 - 0.95)	S19 (SBS20 - 0.98)	S20 (SBS22 - 0.99)	S21 (SBS23 - 0.94)	S22 (SBS26 - 0.94)	S23 (SBS28 - 0.96)	S24 (SBS31 - 0.98)	S25 (SBS32 - 0.94)	S26 (SBS44 - 0.97)	S27 (SBS88 - 0.92)	S28 (SBS92 - 0.95)	S29 (SBS97 - 0.95)
05da3161-1444-4188-914d-19762de3a443	549	0	0	0	643	0	0	0	1222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0609b182-0396-4755-b463-10f949c5b8bb	530	0	0	0	470	0	0	0	0	0	0	0	0	0	0	0	438	0	0	0	0	0	0	0	0	0	0	0	0
0624eb1d-3aff-4037-a3c5-fc363a9edd02	498	0	0	0	0	0	0	627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
062e96d4-c623-11e3-bf01-24c6515278c0	0	0	0	0	0	682	0	4195	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5871	0
063cfacf-9933-4a2d-8921-0aeb76e12779	857	231	3255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
068f4f69-d2fe-4f25-912e-ca7d4623efb6	2339	0	0	0	2384	0	0	0	2804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
06ecd127-6c24-422d-a7fb-bf5aee1b8b7b	1040	0	0	1634	3894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1117	0	0	0	0	0	0	0
074fd614-5d9c-4bcc-96ad-351aa14387e3	709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	458	0	0	0	0	0	0	2315	0
075fc96d-6742-4ef3-9369-482592ad3a2f	1196	438	1815	0	0	350	0	0	0	0	0	0	413	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
07835447-5d7e-4828-80fd-89b063989c9a	3877	0	0	0	0	0	0	0	5296	0	0	0	0	0	0	0	0	0	0	0	1091	0	0	0	0	0	0	0	0
079bcb09-a075-4313-9a3e-dd67734a8c5d	5275	1127	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1739	0	0	0	0	0	0	0	0	0	0	0	0
07b5141f-ac79-439b-883b-b0183bbe7ff5	1369	493	5430	0	1915	0	0	0	0	0	0	0	445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
07e0e938-f61f-477a-92a2-5b7e74b78943	0	0	5231	0	0	0	0	0	0	0	0	0	0	0	0	4920	0	0	0	0	0	0	0	0	0	0	0	0	0
07f16397-71bb-4594-ad4d-caa7d2baeabd	1212	0	914	0	958	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
080ecc31-756a-4a1b-a51e-d632ac8219f7	8621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2645	13019	0	0	0	0	0	0	0	0	0	0	0	0
08227616-02a5-46e8-9db1-f2d1d691ab23	2088	3389	0	0	0	0	0	0	0	0	0	0	1367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5844	0
0831e45e-c623-11e3-bf01-24c6515278c0	0	0	0	0	7810	0	0	8710	0	0	0	0	0	0	0	0	0	0	0	0	0	4434	0	0	0	0	0	0	0
089be98d-c3c9-4fb4-aef2-7a8578a91d51	1904	0	0	0	0	209	0	0	0	0	0	0	0	0	0	0	687	0	0	0	0	0	0	0	0	0	0	0	0
08ac57ec-0036-4134-a9bb-f22eaa27ab0d	4460	0	0	0	2230	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
08b5d0e4-4661-460e-a9f7-f2e687414711	0	0	0	0	0	73124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
08d2a566-8407-4e9b-836c-bf5e1e9f85b2	704	0	1543	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	877	0
08e1d976-6c39-428e-a4c2-f655b675683e	1594	0	1156	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	383	0	0	0	0	0	0	0
08f7812b-0d74-42ba-985b-d0a027e8a80c	326	0	0	0	338	0	0	0	622	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
09497b9b-6fca-48cb-af97-161a3e434a51	2441	0	3346	0	0	1026	0	0	2414	0	0	0	912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
