,seed,average R^2,average MSE,R^2 max name,R^2 max value,R^2 min name,R^2 min value,MSE max name,MSE max value,MSE min name,MSE min value
87,15773,-0.05508682902270897,201283945.7947831,S23 (SBS28 - 0.96),-0.0009317159238355632,S3 (SBS3 - 0.97),-0.28726389867284263,S10 (SBS10a - 1.00),4483177129.732462,S21 (SBS23 - 0.94),76400.50076151075
88,75023,-0.0451217598679028,339167737.80555236,S23 (SBS28 - 0.96),-0.0014018644970530403,S5 (SBS5 - 0.98),-0.24587062097589296,S10 (SBS10a - 1.00),8065979216.567385,S21 (SBS23 - 0.94),106427.08306392631
89,59828,-0.03623278074484199,273327929.24220526,S12 (SBS11 - 0.99),-0.0005042132346007033,S1 (SBS1 - 0.99),-0.18168915778971906,S10 (SBS10a - 1.00),6068969169.626589,S18 (SBS19 - 0.95),122309.32244854228
90,48665,-0.04690192698867013,386885662.6623969,S12 (SBS11 - 0.99),-0.0007414014203976915,S5 (SBS5 - 0.98),-0.2818765139725872,S10 (SBS10a - 1.00),8735441069.962357,S24 (SBS31 - 0.98),228720.4283659724
91,30241,-0.040156100758964454,235843673.44613433,S12 (SBS11 - 0.99),-0.0012611709310794694,S5 (SBS5 - 0.98),-0.13853086034728235,S10 (SBS10a - 1.00),5196326913.041195,S21 (SBS23 - 0.94),55976.663317530605
92,1217,-0.04366444993733375,290908928.02590793,S14 (SBS14 - 0.98),-0.0012675966883537448,S1 (SBS1 - 0.99),-0.2194549510393471,S10 (SBS10a - 1.00),6671371371.257793,S21 (SBS23 - 0.94),103882.57965506549
93,69608,-0.05701147660843714,183866688.58246085,S12 (SBS11 - 0.99),-0.0006556620430999693,S5 (SBS5 - 0.98),-0.3082140314745212,S10 (SBS10a - 1.00),3977162449.198141,S18 (SBS19 - 0.95),43028.609151821474
94,13473,-0.03729866576283002,403067689.85705,S19 (SBS20 - 0.98),-0.0007462938496141103,S1 (SBS1 - 0.99),-0.1517313697201257,S10 (SBS10a - 1.00),10136575254.663298,S18 (SBS19 - 0.95),168891.67748186854
95,18492,-0.04884031223497443,311200801.33543956,S14 (SBS14 - 0.98),-0.0012882212769553814,S5 (SBS5 - 0.98),-0.28846705202129086,S10 (SBS10a - 1.00),7553920874.892956,S18 (SBS19 - 0.95),87502.72719837457
96,50694,-0.05507846880286347,198442613.47597262,S12 (SBS11 - 0.99),-0.0007796289696264669,S5 (SBS5 - 0.98),-0.2896973467511943,S10 (SBS10a - 1.00),2662055145.1144133,S18 (SBS19 - 0.95),178991.8789042204
97,23928,-0.05526558293112762,392398992.59832513,S23 (SBS28 - 0.96),-0.0009721312675587956,S3 (SBS3 - 0.97),-0.28887770873723917,S10 (SBS10a - 1.00),9180135163.465458,S18 (SBS19 - 0.95),73329.97146722945
98,67448,-0.045118171978635,318752965.8907703,S12 (SBS11 - 0.99),-0.0009850302785354703,S5 (SBS5 - 0.98),-0.2492353690713116,S10 (SBS10a - 1.00),7948989649.429437,S21 (SBS23 - 0.94),260866.62031020582
99,34840,-0.04190526057707637,219409389.66285115,S23 (SBS28 - 0.96),-0.000743270746771163,S3 (SBS3 - 0.97),-0.2575286324921151,S10 (SBS10a - 1.00),3991927095.9727798,S24 (SBS31 - 0.98),172401.10923154128
