,seed,average R^2,average MSE,R^2 max name,R^2 max value,R^2 min name,R^2 min value,MSE max name,MSE max value,MSE min name,MSE min value
10,47500,0.8288959161183485,7867323.473507691,S10 (SBS10a - 1.00),0.9990228579789735,S18 (SBS19 - 0.95),0.09796896630600349,S14 (SBS14 - 0.98),113256125.00285393,S13 (SBS13 - 0.99),72809.93248100032
11,1366,0.7959481823382768,8624409.003269874,S10 (SBS10a - 1.00),0.9979811123564923,S18 (SBS19 - 0.95),0.2719220728612147,S14 (SBS14 - 0.98),115277774.57293735,S13 (SBS13 - 0.99),185723.915845805
12,42691,0.7858692107710327,18262926.7851075,S10 (SBS10a - 1.00),0.9991930551401758,S17 (SBS18 - 0.97),0.26480351846110906,S14 (SBS14 - 0.98),333381198.5858051,S13 (SBS13 - 0.99),165175.9314641917
13,47566,0.6928616401107099,8960260.56372905,S10 (SBS10a - 1.00),0.9990291008221244,S25 (SBS32 - 0.94),-0.9660922485974917,S14 (SBS14 - 0.98),69764282.50512978,S13 (SBS13 - 0.99),111323.96327082567
14,58724,0.8452901288026757,13464839.14881282,S10 (SBS10a - 1.00),0.9988440202132707,S18 (SBS19 - 0.95),0.4055154381765158,S14 (SBS14 - 0.98),232950301.20844066,S13 (SBS13 - 0.99),177504.85835149226
15,80537,0.8482404514741051,8545102.72020951,S6 (SBS7a - 1.00),0.9972768832473641,S20 (SBS22 - 0.99),-0.02510108200497041,S14 (SBS14 - 0.98),95099195.65461323,S13 (SBS13 - 0.99),88078.4470359151
16,47861,0.6754107012818144,15960546.424100097,S10 (SBS10a - 1.00),0.9988500523538411,S18 (SBS19 - 0.95),-1.5901525073703904,S14 (SBS14 - 0.98),298927461.4207747,S16 (SBS17 - 0.99),233938.10294863713
17,98267,0.8003200846481884,7650810.864548429,S10 (SBS10a - 1.00),0.9987289970563816,S23 (SBS28 - 0.96),-0.726943406007847,S14 (SBS14 - 0.98),125217016.25938119,S21 (SBS23 - 0.94),119125.1296838832
18,85496,0.7134344496467632,10000847.270974994,S10 (SBS10a - 1.00),0.9987336304804155,S18 (SBS19 - 0.95),-2.11776755951632,S14 (SBS14 - 0.98),155355788.59892818,S13 (SBS13 - 0.99),161317.36906787063
19,49399,0.8040326993293141,5791785.818428385,S10 (SBS10a - 1.00),0.9990167158332854,S18 (SBS19 - 0.95),-0.46609439228204197,S14 (SBS14 - 0.98),72267201.44392537,S21 (SBS23 - 0.94),110913.25257677842
