,seed,average R^2,average MSE,R^2 max name,R^2 max value,R^2 min name,R^2 min value,MSE max name,MSE max value,MSE min name,MSE min value
10,19284,0.2455178172471622,6723044.612245459,S10 (SBS10a - 1.00),0.9970302777284937,S25 (SBS32 - 0.94),-4.17391887562947,S19 (SBS20 - 0.98),32376155.758889273,S13 (SBS13 - 0.99),179581.42666910458
11,27055,0.017690305740856695,3580444.044593673,S10 (SBS10a - 1.00),0.9990799352730142,S19 (SBS20 - 0.98),-8.564633920640954,S19 (SBS20 - 0.98),22989911.792770874,S18 (SBS19 - 0.95),80826.39099661415
12,43039,0.2468145068913963,3969090.958596124,S6 (SBS7a - 1.00),0.9973312779414144,S11 (SBS10d - 0.98),-8.237124581504768,S14 (SBS14 - 0.98),19958533.711015057,S21 (SBS23 - 0.94),86263.45930281901
13,48887,0.461555873601955,6421469.314998742,S10 (SBS10a - 1.00),0.998379444260744,S23 (SBS28 - 0.96),-3.560067482193171,S14 (SBS14 - 0.98),27998296.963516872,S21 (SBS23 - 0.94),162418.47422433682
14,87576,0.21060397546462056,6292620.356328081,S10 (SBS10a - 1.00),0.9971212670118897,S25 (SBS32 - 0.94),-6.8781058288439665,S14 (SBS14 - 0.98),35239576.46155135,S13 (SBS13 - 0.99),140584.5745501438
15,31065,0.518948415404314,4551099.734441847,S10 (SBS10a - 1.00),0.9992879852936589,S21 (SBS23 - 0.94),-0.6811133437648136,S14 (SBS14 - 0.98),31933664.15698807,S18 (SBS19 - 0.95),125379.2741915304
16,68095,0.38749274905977305,6993870.933337078,S10 (SBS10a - 1.00),0.997855423648621,S23 (SBS28 - 0.96),-1.8682449796808807,S14 (SBS14 - 0.98),47494868.737683274,S18 (SBS19 - 0.95),96888.49568865768
17,52304,0.3294165112640374,5905011.0566972485,S10 (SBS10a - 1.00),0.9986058127241814,S21 (SBS23 - 0.94),-4.252322365036515,S19 (SBS20 - 0.98),32592488.660737574,S18 (SBS19 - 0.95),146846.7228046869
18,98539,0.4550140416169279,8879408.593039596,S10 (SBS10a - 1.00),0.9959572308499794,S3 (SBS3 - 0.97),-0.9516943508966011,S14 (SBS14 - 0.98),45416686.73728188,S18 (SBS19 - 0.95),154817.1136426615
19,72470,0.45029367716132396,7360419.863963634,S10 (SBS10a - 1.00),0.9970431375634343,S29 (SBS97 - 0.95),-2.730012575554082,S19 (SBS20 - 0.98),38392157.774113104,S18 (SBS19 - 0.95),165465.5493626945
20,73226,0.49950348342336826,5874678.78492358,S10 (SBS10a - 1.00),0.9989280369723854,S22 (SBS26 - 0.94),-1.588155998100742,S14 (SBS14 - 0.98),38863404.820532925,S18 (SBS19 - 0.95),145013.32603556028
21,27199,0.44589737522108935,6622262.709962749,S10 (SBS10a - 1.00),0.9986557997045192,S29 (SBS97 - 0.95),-1.0565181817643587,S14 (SBS14 - 0.98),46595404.33462906,S13 (SBS13 - 0.99),151003.2973825944
22,67329,0.4600230503032321,7663457.143185088,S10 (SBS10a - 1.00),0.9979673199712605,S3 (SBS3 - 0.97),-1.3657039981949826,S19 (SBS20 - 0.98),32911618.141302038,S13 (SBS13 - 0.99),168977.89058504964
