Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
29b92b51-7ba3-42a9-97d3-6a9b5e43f928	472	0.918	185.441	39.288%	25.252	40.088%	0.15631	0.794
29fc38aa-f367-46a3-a14d-a5f657ad0caa	102	0.851	72.484	71.063%	10.947	53.416%	0.51216	0.796
2a5a5840-a834-47a1-b1f4-dc8fed620f5c	14	0.372	22.719	162.279%	4.161	93.043%	2.12324	0.213
2a7f6aac-8f94-4815-8b94-0ea7db71135c	56	0.708	55.912	99.843%	8.205	72.523%	0.84266	0.591
2a8d63eb-0174-4213-9214-413f391f512c	370	0.883	176.085	47.591%	21.716	47.869%	0.21621	0.601
2abe2e53-ad9b-4fbc-b9a7-93444f1bea87	93	0.848	66.827	71.857%	9.518	55.044%	0.49489	0.782
2aeaab9f-4459-4be8-91e7-e0746cbd671c	98	0.774	75.484	77.024%	10.224	63.407%	0.5362	0.592
2b000af3-2c9d-4eaa-af3f-8101b7425c37	129	0.882	73.534	57.003%	10.024	48.97%	0.34921	0.801
2b02e3ad-4423-491e-993a-561e80dc7bcf	160	0.861	94.451	59.032%	12.648	50.96%	0.34847	0.741
2b142863-b963-4cc9-8f8f-c72503c93390	762	0.988	228.167	29.943%	33.667	17.807%	1000.0	0.986
2b36ac4b-eed3-4591-8b4f-b44049dfc5ed	95	0.824	67.753	71.319%	9.971	59.482%	0.45136	0.735
2b3837b3-ee29-4a08-848e-1206404da986	148	0.897	95.283	64.38%	13.219	46.678%	0.42161	0.86
2b40a733-7a63-4bb8-a953-95a4ee28f962	227	0.823	133.794	58.94%	17.389	57.175%	0.33731	0.51
2b41746a-95c0-4875-afb5-c6d3d3ad30d9	818	0.95	280.647	34.309%	39.485	31.52%	0.10291	0.908
2b4feb84-89e4-4c38-8561-5ffab02c8132	180	0.764	124.8	69.333%	15.857	66.186%	1000.0	0.346
2b6d4d66-7f0b-4bc0-b3d6-171956a937c5	126	0.887	75.938	60.268%	10.599	46.933%	0.45757	0.83
2b78de4e-4c8b-4adf-a058-3dae797e7881	288	0.94	127.051	44.115%	16.672	34.103%	0.24604	0.905
2bd9ccca-3fae-4b66-a762-6f30d6276222	149	0.827	96.708	64.905%	14.311	57.428%	0.37454	0.716
2bde43e2-fd4e-413e-adc7-c50bca75d358	1677	0.967	594.854	35.471%	95.01	34.968%	1000.0	0.963
2bf5b018-9f19-4fbd-9e1f-7d958aabe5d1	484	0.897	206.239	42.611%	27.468	45.06%	0.17217	0.689
2bff30d5-be79-4686-8164-7a7d9619d3c0	464	0.907	195.805	42.199%	25.584	42.687%	0.16048	0.741
2c316b7e-6a82-4ba1-9f34-d8bfcf82d41e	287	0.902	143.908	50.142%	20.757	44.487%	0.25958	0.838
2c3ada8b-9650-4859-9857-43209c0f7cea	276	0.849	145.718	52.796%	20.63	53.807%	0.2616	0.654
2c48eefe-2a08-47bf-8e4d-cbaab6777150	80	0.817	62.885	78.606%	9.52	62.234%	0.63623	0.749
2c581a74-7716-4c20-b366-a8e1d9a901f6	209	0.816	124.564	59.6%	17.153	61.536%	0.32156	0.575
2c6f1862-bb82-4e7e-9cb3-338bdf022ff4	137	0.814	93.357	68.144%	13.02	58.286%	0.43825	0.672
2c71d542-1653-4d97-8752-f2fd05c7e75d	244	0.899	127.763	52.362%	21.564	51.227%	0.25988	0.861
2c9c50ff-01d9-4703-931b-04119178706f	109	0.878	73.1	67.064%	10.886	49.028%	0.48469	0.837
2c9dc04b-e9ec-4cf1-ab2c-a18edb30dd37	219	0.823	127.125	58.048%	17.041	57.348%	1000.0	0.534
2ccd028d-e7e0-4f77-a512-f658a31819a4	60	0.736	54.933	91.555%	7.909	67.819%	0.73358	0.606
2cdc4cce-0877-4ec1-85f5-20c909912e65	343	0.94	151.349	44.125%	24.412	36.203%	0.18501	0.924
2d0e4b82-c623-11e3-bf01-24c6515278c0	423	0.935	139.669	33.019%	19.74	35.563%	0.1236	0.826
2da2b745-068d-408c-9163-3b3a78d4aaed	62	0.834	47.653	76.86%	7.095	57.173%	0.61688	0.774
2deb8f9a-9e0a-46d1-bcb5-902db3b5c8ac	206	0.86	112.214	54.473%	14.956	53.758%	0.38309	0.687
2df02f2b-9f1c-4249-b3b4-b03079cd97d9	73192	0.998	7794.733	10.65%	1492.002	6.384%	1000.0	0.998
2df17728-33e8-45ab-833b-ef68a5482daa	90	0.746	76.839	85.377%	9.873	66.564%	0.61178	0.531
2e0bbaf6-c623-11e3-bf01-24c6515278c0	143	0.825	97.122	67.917%	12.987	56.572%	1000.0	0.682
2e43e0ca-54ea-482e-acf2-0048d9187a5c	202	0.87	121.935	60.364%	16.682	52.596%	0.35388	0.785
