Sample Names	Total Mutations	Cosine Similarity	L1 Norm	L1_Norm_%	L2 Norm	L2_Norm_%	KL Divergence	Correlation
15d597de-d26c-4ce1-b0cb-077e39b55f30	137	0.845	74.626	54.472%	10.124	53.582%	0.28298	0.612
15daadb0-6b24-4248-9225-470dc08f1552	65	0.935	39.33	60.508%	8.785	41.276%	1000.0	0.93
15dd024e-c0da-461a-84db-d01e60a22210	32	0.644	36.735	114.797%	4.844	76.59%	0.9685	0.45
15e097e3-e468-466c-8e57-b59fba90bbf2	422	0.935	164.509	38.983%	23.539	35.764%	0.1564	0.883
15e7d981-8c27-4b2b-b4f8-626e22021895	507	0.939	199.105	39.271%	27.531	35.069%	0.14834	0.894
15f90ef0-831b-40a3-98bd-ec226a9e8b26	85	0.761	69.645	81.935%	8.791	67.226%	0.67416	0.552
15fd8dc8-c622-11e3-bf01-24c6515278c0	296	0.877	151.412	51.153%	22.735	49.707%	0.25061	0.782
1659bae5-3140-4d05-891c-81b48277b2fc	102	0.762	78.771	77.226%	10.828	65.654%	0.53908	0.568
16c6f975-48fd-4cda-946a-777cb922949d	48	0.832	44.761	93.252%	6.568	55.51%	0.83112	0.793
16d33e09-2e21-4da2-8e57-e78ce28c4408	134	0.786	94.462	70.494%	11.983	61.963%	0.43201	0.495
16d5519e-ecb9-4fc8-81f1-e0e4adf722a8	3370	0.999	385.294	11.433%	76.548	6.317%	1000.0	0.999
16df7888-2480-4394-8856-d57a6ef371d2	102	0.82	63.252	62.012%	8.794	57.986%	0.40728	0.632
170ad241-9e24-469b-b7ca-3fd783a89b21	144	0.908	86.871	60.327%	12.162	42.114%	0.3919	0.874
1727e88b-df0a-4af2-9191-8c6061d98ad0	177	0.895	96.644	54.601%	13.575	45.84%	0.35719	0.833
172c9864-c26d-4e9b-947a-e8ce761e996d	209	0.876	119.802	57.322%	16.795	51.224%	0.36746	0.793
1776f326-b12f-4355-8107-80fa6fcd2159	79	0.909	56.502	71.522%	7.753	41.985%	0.53393	0.887
17de5b12-c623-11e3-bf01-24c6515278c0	274	0.849	148.91	54.347%	21.281	55.848%	1000.0	0.685
17ed8831-a261-42d9-8ff3-cf75a6cb2a24	111	0.805	74.923	67.498%	9.831	59.283%	0.45791	0.584
183b04f5-107f-496c-8e9a-8263dd00cffa	250	0.902	140.957	56.383%	21.952	44.941%	0.32546	0.867
186cacaf-4f20-4ad2-a07a-a7dc942a70b0	53	0.711	57.071	107.681%	8.268	74.55%	1.01913	0.616
18ec066e-8510-4921-9e35-45d85fb01e38	101	0.757	80.901	80.1%	11.023	65.993%	1000.0	0.569
18f5e75e-c623-11e3-bf01-24c6515278c0	100	0.779	76.336	76.336%	10.231	62.73%	0.51875	0.597
18f9240e-7acd-41eb-a154-c2a67a1cbe9b	10	0.588	13.59	135.9%	2.804	80.945%	1.48034	0.533
19085f7d-e6a6-406f-bd09-520a27e0283d	275	0.895	133.295	48.471%	17.583	44.849%	0.20658	0.771
190eb791-383d-4e27-870d-e470630843e7	338	0.935	162.576	48.099%	24.969	40.262%	0.2463	0.913
199bbb0f-996c-40c1-b06d-2066f04be778	799	0.96	242.819	30.39%	35.279	28.61%	1000.0	0.929
19b6b9d6-6912-4b85-a4bf-52014bcb170b	32	0.756	33.307	104.084%	4.759	65.995%	0.99478	0.682
19c1c97f-a3ec-44a8-8a20-6f97caed1a4f	82	0.767	69.366	84.593%	10.067	68.182%	0.63847	0.656
19cd4360-8392-4bc2-ae88-fdc1335d886b	41	0.627	50.903	124.154%	6.839	77.938%	1.14899	0.462
19d6cf34-1cd7-4242-a4d1-5d3e11f428aa	149	0.715	116.683	78.311%	15.819	70.533%	1000.0	0.365
19def402-fb8d-4b27-90dd-ce9135a3c0a2	82	0.817	65.686	80.105%	9.791	61.924%	0.59996	0.749
19fe27d8-c623-11e3-bf01-24c6515278c0	188	0.83	114.682	61.001%	15.636	56.868%	0.36705	0.649
1a0ef226-41a5-4b56-9078-4b7834f0c976	96	0.87	62.782	65.398%	8.607	50.197%	0.46359	0.803
1a134c18-ced3-4bae-9f15-5f0f09526639	6	0.371	9.814	163.567%	2.294	93.652%	2.62059	0.292
1a319682-f55e-4e0b-8476-48a0bea6c265	73	0.72	62.812	86.044%	10.63	77.734%	0.72447	0.614
1a391468-fbf3-451a-b88e-a257a26d047f	277	0.895	133.969	48.364%	18.752	44.66%	0.24237	0.797
1a4633c4-72a0-4e30-8c4c-345e04337627	287	0.893	136.937	47.713%	18.075	45.145%	0.22466	0.754
1a5bf97e-3d49-4d3f-b385-ffa7a295be9c	23	0.529	32.195	139.978%	4.243	84.86%	1.33981	0.28
1a841850-fca0-48ab-8c78-db0bd5a64435	188	0.912	97.242	51.724%	14.291	42.326%	0.26969	0.87
1ac15380-04a2-42dd-8ade-28556a570e80	136	0.805	101.4	74.559%	13.879	60.515%	0.57185	0.678
1ac54c6e-a1e4-4f3b-b4a5-cdb327e0dca6	67	0.761	59.969	89.506%	9.175	67.824%	0.83885	0.675
1aff91a6-1b0f-4575-8f4b-4e064a50b886	199	0.873	118.384	59.489%	16.177	51.233%	0.38214	0.787
1b06afe2-c623-11e3-bf01-24c6515278c0	151	0.824	95.28	63.099%	13.098	56.84%	0.39472	0.654
1b0fe1d5-b286-4f49-ae92-94d9c6db9657	83	0.893	52.585	63.355%	7.38	44.997%	0.46099	0.851
