,"S1 (SBS1 - 0.99)","S2 (SBS2 - 0.99)","S3 (SBS3 - 0.97)","S4 (SBS4 - 0.98)","S5 (SBS5 - 0.98)","S6 (SBS7a - 1.00)","S7 (SBS7b - 0.96)","S8 (SBS8 - 0.92)","S9 (SBS9 - 0.94)","S10 (SBS10a - 1.00)","S11 (SBS10d - 0.98)","S12 (SBS11 - 0.99)","S13 (SBS13 - 0.99)","S14 (SBS14 - 0.98)","S15 (SBS15 - 0.97)","S16 (SBS17 - 0.99)","S17 (SBS18 - 0.97)","S18 (SBS19 - 0.95)","S19 (SBS20 - 0.98)","S20 (SBS22 - 0.99)","S21 (SBS23 - 0.94)","S22 (SBS26 - 0.94)","S23 (SBS28 - 0.96)","S24 (SBS31 - 0.98)","S25 (SBS32 - 0.94)","S26 (SBS44 - 0.97)","S27 (SBS88 - 0.92)","S28 (SBS92 - 0.95)","S29 (SBS97 - 0.95)"
"00db4dc2-3ec7-4ff9-9233-d69c8c8a607f",1997.59020123872,598.291583130459,1306.30567331579,0,682.068945220275,224.744519799259,36.576014304461,13.4032400833748,247.944528830746,103.418621914599,58.326872307327,24.4983693083102,734.850878721936,33.1758924729708,0,106.995862348022,31.2301701016992,0,0,0,0,63.1403055707364,0,0,0,0,150.652795574991,699.089444121624,0
"01658141-8398-4585-9f0f-8355dd9b0604",2021.98153011147,10448.1749403384,0,0,0,0,0,0,0,0,0,0,4582.79587730773,466.856613069361,0,0,1847.24448114134,0,0,0,0,0,0,0,0,0,0,0,0
"0168a2a6-c3af-4d58-a51c-d33f0fc7876d",1169.84085828555,198.840145348455,1811.44563816635,442.30609309078,446.281539970877,114.962541464242,12.3626899193401,201.56615278932,0,0,175.635472183434,87.2192718020927,122.482561586004,0,13.5166422092255,4.15069765180279,0,158.167784589723,0,82.068688202379,0,0,246.127599915602,0,0,0,0,1381.95650139012,0.0912258814647098
"0176cf1d-0760-4769-a493-277f4bb7585e",1334.03527340673,1304.78752255519,0,27264.9191175589,3410.18189224247,1006.69881912176,64.797005030976,0,0,0,0,0,824.774278072939,0,166.231908484304,197.799375842219,0,422.738648811088,0,817.117467920626,0,561.252934370805,40.6470258432424,63.8967207780364,0,0,585.286221232563,416.691694167333,0
"0192d529-7340-45d8-a5f0-249cbb11ca19",1631.87429316154,42.4292424685862,284.752988490088,0,0,33.4036253573521,0,0,261.460495278397,0,25.6789680758178,0,37.5582818180243,40.6581425936793,66.8760271977059,0,0,0,0,0,0,0,0,0,0,0,24.0778103878821,323.786228551214,11.523723645361
"01b0848c-ae36-4ade-a3da-d297b003c99f",4052.33703380471,1250.14562451131,11913.2941639138,823.824086658617,0,385.560482182221,256.852374071469,10522.0370375346,389.886376845737,158.296451562137,0,197.222827005309,1573.36667010114,68.1067244185143,304.341764909726,377.144483110799,0,0,0,139.699540005304,0,0,0,0,0,0,0,261.855608638975,201.043022684303
"01c8e465-2b4e-4519-bdef-c3ac06b43eeb",129.080500623777,0,206.690562627952,0,614.782624069479,0,47.1710717222596,1230.82458372676,0,0,0,134.183673876428,0,31.1693504163437,0,0,0,160.92199597117,0,12.1881034203857,0,0,0,0,0,221.149645430921,409.246758104581,344.321919967642,0
"01dc6872-c623-11e3-bf01-24c6515278c0",117.448152656769,118.49992469333,0,213.854927388955,1837.6868141314,167.190606092408,45.8571845675353,1487.16160118463,0,0,0,0,22.5812364485244,0,100.874206101195,0,228.959586141587,156.956116562907,0,0,0,2142.03890223742,0,37.3728337791912,0,0,587.728188286758,1659.2458032624,162.760759060512
"01df36af-3617-40fc-9892-f54ce433cf71",1269.8273357332,185.645980622225,1561.20925217066,294.599556338843,384.085516968646,147.000115037013,17.0296578816534,450.902686182673,0,0,0,0,106.586641375199,0,134.794025476893,0,59.7342366861133,0,0,7.66033112826501,4.46657593411924,0,0,0,235.516392966313,0,230.943637257174,222.848714036989,59.0229408312343
"020fab36-c7de-4933-b2bf-dc7b019a1326",3109.04750012166,398.157584187473,1168.74189810779,612.180490428269,1152.17967582132,285.739083896262,0,0,0,186.41847966352,0,0,593.265944542076,0,326.417138618463,90.7132245418371,639.485323110432,0,0,0,0,0,0,0,0,0,0,658.819021658051,65.1076446025961
